Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
20251465636,25-000851,01/25/2025,01-January,7-Saturday,15:05,1500 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,77,3400 BLOCK OF WEST BRDWAY,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,1500,2,3,Southbound (SB),POINT (-95.901704820276 41.261895933135)
20251465560,W25-006559,01/25/2025,01-January,7-Saturday,13:13,1300 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,77,WEST 6TH ST AND COMMERCIAL ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  Other (explain in narrative),None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,12000,2,2,Northbound (NB),POINT (-92.337604711906 42.493735240032)
20251465720,25SC02175,01/25/2025,01-January,7-Saturday,12:52,1200 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,77,NEBRASKA ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Other (explain in narrative):  No improper action,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5500,2,2,Northbound (NB),POINT (-96.403548181236 42.503354793863)
20251465579,20250002055,01/25/2025,01-January,7-Saturday,16:25,1600 Hours,District 1 (Central),DES MOINES,POLK,US 69,US 69 N MEASURING 89 FEET SOUTH FROM CAPITOL AVE,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),"Operating vehicle in an reckless, erratic, careless, negligent manner",None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,0,1,2000,2,2,Northbound (NB),POINT (-93.594861742123 41.592766355367)
20251465639,C25000337,01/25/2025,01-January,7-Saturday,11:40,1100 Hours,District 6 (East Central),CORALVILLE,JOHNSON,77,2900 BLK HEARTLAND DRIVE,Collision with:  Vehicle in traffic,On Roadway,Other (explain in narrative),FTYROW:  From driveway,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,"Non-intersection:  Driveway access (related, not in)",Paved,,Property Damage Only,0,0,0,0,0,0,6000,2,2,Southbound (SB),POINT (-91.617433677807 41.695732124386)
20251465765,25-001242,01/25/2025,01-January,7-Saturday,19:31,1900 Hours,District 2 (Northeast),,BREMER,IA-188,IA 188 E,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,Southbound (SB),POINT (-92.49744012683 42.847539346842)
20251465577,202500276,01/25/2025,01-January,7-Saturday,18:14,1800 Hours,District 6 (East Central),,LINN,77,WEST MOUNT VERNON RD,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,Southbound (SB),POINT (-91.495250434755 41.970942246989)
20251465663,25-00192,01/25/2025,01-January,7-Saturday,18:33,1800 Hours,District 1 (Central),URBANDALE,POLK,77,13100 WESTBROOK DR,Collision with:  Parked motor vehicle,On Roadway,"Sideswipe, opposite direction",Over correcting/over steering,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,1,Southbound (SB),POINT (-93.797658194381 41.641401868823)
20251466247,25-00052,01/25/2025,01-January,7-Saturday,13:59,1300 Hours,District 1 (Central),WINDSOR HEIGHTS,POLK,77,6800 BLK UNIVERSITY AVE WB,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Driver Distraction:  Talking on a hand-held device,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,2,0,0,2,0,40000,2,4,Northbound (NB),POINT (-93.711066887402 41.600447052856)
20251465631,2025002098,01/25/2025,01-January,7-Saturday,07:07,0700 Hours,District 5 (Southeast),,APPANOOSE,77,LAKE RATHBUN,Miscellaneous events:  Immersion,Outside trafficway,Non-collision (single vehicle),Unknown,None Indicated,Weather conditions,Dawn,Ice/frost,Clear,Other (explain in narrative),Non-intersection:  Non-junction/no special feature,Unpaved,,Possible/Unknown,0,2,0,0,2,0,5000,1,2,Northbound (NB),POINT (-93.019929637746 40.846324113961)
20251465603,009-25,01/25/2025,01-January,7-Saturday,19:20,1900 Hours,District 4 (Southwest),,MADISON,US 169,US 169 N,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,2000,1,1,Northbound (NB),POINT (-94.04147155273 41.216320633704)
20251465489,,01/25/2025,01-January,7-Saturday,15:30,1500 Hours,District 6 (East Central),DAVENPORT,SCOTT,77,WEST LOMBARD ST,Collision with:  Vehicle in traffic,Unknown,,Unknown,None Indicated,,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,2,Southbound (SB),POINT (-90.580013292778 41.541865484244)
20251465551,20250002026,01/25/2025,01-January,7-Saturday,12:12,1200 Hours,District 1 (Central),DES MOINES,POLK,US 69,HART AVE AND US 69 N,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Lost Control,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,3000,2,3,Northbound (NB),POINT (-93.59672760585 41.530858536865)
20251465599,25-000811,01/25/2025,01-January,7-Saturday,01:30,0100 Hours,District 2 (Northeast),LUANA,CLAYTON,77,BRDVIEW AVE,Collision with:  Parked motor vehicle,In parking lane/zone,Rear-end (front to rear),Made improper turn,None Indicated,None apparent,Dark - unknown roadway lighting,Dry,Clear,None apparent,Intersection:  Four-way intersection,Unpaved,,Property Damage Only,0,0,0,0,0,0,25000,2,1,Southbound (SB),POINT (-91.447496600614 43.057016853574)
20251467024,2025002104,01/25/2025,01-January,7-Saturday,12:24,1200 Hours,District 1 (Central),ANKENY,POLK,I-80,INTERSTATE 80 WB TO INTERSTATE 235 WB MM 138.5 - EAST MIX,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Exceeded authorized speed,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,3,Westbound (WB),POINT (-93.574823266524 41.653468774681)
20251465602,20250002084,01/25/2025,01-January,7-Saturday,22:45,2200 Hours,District 1 (Central),DES MOINES,POLK,US 6,US 6 E MEASURING 73 FEET SOUTH FROM IA 28 N,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2500,2,3,Southbound (SB),POINT (-93.697696563936 41.629171848286)
20251465803,25000648,01/25/2025,01-January,7-Saturday,21:41,2100 Hours,District 5 (Southeast),ALBIA,MONROE,77,NORTH 2ND ST,Collision with fixed object:  Building,In parking lane/zone,Non-collision (single vehicle),"Operating vehicle in an reckless, erratic, careless, negligent manner",None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5200,1,2,Northbound (NB),POINT (-92.805906527056 41.030644111222)
20251465619,C25000345,01/25/2025,01-January,7-Saturday,13:00,1300 Hours,District 6 (East Central),CORALVILLE,JOHNSON,US 6,2100 BLOCK 2ND ST.,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Lost Control,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5000,2,2,Southbound (SB),POINT (-91.593251915199 41.680433218781)
20251465578,20250002049,01/25/2025,01-January,7-Saturday,15:44,1500 Hours,District 1 (Central),DES MOINES,POLK,US 69,US 69 N MEASURING 1666 FEET NORTH FROM MAURY ST,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Unknown,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3500,3,4,Northbound (NB),POINT (-93.596788932937 41.585757730718)
20251467040,25-00193,01/25/2025,01-January,7-Saturday,20:00,2000 Hours,District 1 (Central),URBANDALE,POLK,77,3800 BLOCK 86TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Minor Injury,0,2,0,1,1,0,20000,2,3,Northbound (NB),POINT (-93.736450467401 41.630335214647)
20251465581,25-000852,01/25/2025,01-January,7-Saturday,15:28,1500 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,77,SOUTH 9TH ST AND 2ND AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,6000,2,4,Southbound (SB),POINT (-95.857479581148 41.259634584412)
20251465833,25000595,01/25/2025,01-January,7-Saturday,14:50,1400 Hours,District 5 (Southeast),,LOUISA,US 61,11000 BLK US 61 N,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,10000,1,4,Northbound (NB),POINT (-91.198971775331 41.214690897769)
20251465574,25-001176,01/25/2025,01-January,7-Saturday,10:17,1000 Hours,District 3 (Northwest),ARNOLDS PARK,DICKINSON,77,ROHR ST,Collision with:  Parked motor vehicle,On Roadway,"Sideswipe, same direction",Unknown,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4400,3,1,Northbound (NB),POINT (-95.126596409475 43.366819498084)
20251466027,25-000920,01/25/2025,01-January,7-Saturday,19:06,1900 Hours,District 2 (Northeast),,CHICKASAW,US 18,ASHERTON AND US 18 E,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,1500,1,1,Southbound (SB),POINT (-92.53503520807 43.067549575681)
20251465582,25-000853,01/25/2025,01-January,7-Saturday,16:02,1600 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,77,1ST AVE AND SOUTH 6TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,6000,2,2,Northbound (NB),POINT (-95.852372655164 41.259941447635)
20251465583,390125-0212,01/25/2025,01-January,7-Saturday,18:59,1800 Hours,District 4 (Southwest),GUTHRIE CENTER,GUTHRIE,IA-25,IA 25 N,Collision with fixed object:  Other fixed object (explain in narrative),Other (explain in narrative),Non-collision (single vehicle),Other (explain in narrative):  Other,None Indicated,None apparent,Dark - roadway lighted,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,7000,1,1,Northbound (NB),POINT (-94.502372681853 41.677439414518)
20251466213,S25-000170,01/25/2025,01-January,7-Saturday,05:40,0500 Hours,District 4 (Southwest),CRESCENT,POTTAWATTAMIE,77,OLD LINCOLN HIGHWAY,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,15000,1,1,Northbound (NB),POINT (-95.858346926114 41.368562133754)
20251465633,SOP202500069,01/25/2025,01-January,7-Saturday,14:00,1400 Hours,District 6 (East Central),,IOWA,77,245TH ST,Collision with fixed object:  Ditch,Outside trafficway,Non-collision (single vehicle),Passing:  With insufficient distance/inadequate visibility,None Indicated,None apparent,Daylight,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Unpaved,,Possible/Unknown,0,1,0,0,1,0,6000,2,2,Southbound (SB),POINT (-91.954799685614 41.651703054101)
20251465624,25-000136,01/25/2025,01-January,7-Saturday,14:10,1400 Hours,District 1 (Central),ALTOONA,POLK,77,ADVENTURELAND DR AND 34TH AVE NW,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Roundabout,Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,2,Northbound (NB),POINT (-93.502997124102 41.658615362196)
20251465708,25003000,01/25/2025,01-January,7-Saturday,04:22,0400 Hours,District 5 (Southeast),,MUSCATINE,77,231ST ST,Collision with:  Animal,On Roadway,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,2000,1,1,Southbound (SB),POINT (-91.313543241739 41.40150715227)
20251465557,25-000822,01/25/2025,01-January,7-Saturday,08:15,0800 Hours,District 2 (Northeast),,CLAYTON,77,BELL RD,Non-collision events:  Overturn/rollover,Shoulder,Non-collision (single vehicle),Ran off road - right,None Indicated,None apparent,Daylight,Wet,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,12000,1,2,Southbound (SB),POINT (-91.565893276759 42.796318589495)
20251465607,25-00393,01/25/2025,01-January,7-Saturday,22:22,2200 Hours,District 1 (Central),WEST DES MOINES,DALLAS,77,1700BLK 71ST ST,Collision with fixed object:  Curb/island/raised median,Outside trafficway,Non-collision (single vehicle),Ran off road - straight,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,9000,1,1,Northbound (NB),POINT (-93.805348751478 41.59845615011)
20251465819,25-000606,01/25/2025,01-January,7-Saturday,18:09,1800 Hours,District 5 (Southeast),,LOUISA,77,11000 BLK COUNTY RD G 44X,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,4000,1,1,Southbound (SB),POINT (-91.158670427669 41.315204315448)
20251465692,25-1214,01/25/2025,01-January,7-Saturday,22:09,2200 Hours,District 3 (Northwest),ROCK VALLEY,SIOUX,77,ROCK RIDGE DR,Collision with fixed object:  Utility pole/light support,Roadside,Non-collision (single vehicle),Lost Control,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2250,1,2,Southbound (SB),POINT (-96.263789785028 43.201586192455)
20251465778,25SC02348,01/25/2025,01-January,7-Saturday,19:00,1900 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,77,4TH ST,Collision with:  Parked motor vehicle,On Roadway,Rear to rear,Improper Backing,None Indicated,None apparent,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2100,2,2,Southbound (SB),POINT (-96.396738272256 42.49423742351)
20251466306,2025-01087,01/25/2025,01-January,7-Saturday,15:30,1500 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,77,2ND ST SE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From yield sign,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Roundabout,Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,3,Northbound (NB),POINT (-91.659306540922 41.969580268285)
20251465988,24-000578,01/25/2025,01-January,7-Saturday,12:11,1200 Hours,District 1 (Central),,HAMILTON,77,220TH ST,Collision with:  Struck/struck by object/cargo/person from other vehicle,On Roadway,Other (explain in narrative),Cargo/equipment loss or shift,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,1501,2,2,Southbound (SB),POINT (-93.551651370195 42.471086658347)
20251465757,25SC02163,01/25/2025,01-January,7-Saturday,10:39,1000 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,IA-12,IA 12 N,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Other (explain in narrative):  No improper action,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,2,Northbound (NB),POINT (-96.397871247255 42.489548479516)
20251466944,2025002118,01/25/2025,01-January,7-Saturday,22:40,2200 Hours,District 4 (Southwest),,ADAIR,77,110TH ST 1/2 MILE WEST OF INDIAN AVENUE  WB,Collision with fixed object:  Culvert/pipe opening,Outside trafficway,Non-collision (single vehicle),Ran off road - left,Under Influence of Alcohol/Drugs/Medications,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,,Major Injury,0,1,1,0,0,0,11000,1,1,Southbound (SB),POINT (-94.534841942844 41.495971053569)
20251465539,20250002005,01/25/2025,01-January,7-Saturday,02:13,0200 Hours,District 1 (Central),DES MOINES,POLK,US 69,E 14TH ST / 50 FEET NORTH OF MADISON,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),"Operating vehicle in an reckless, erratic, careless, negligent manner",None Indicated,None apparent,Dark - roadway lighted,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,2000,2,2,Northbound (NB),POINT (-93.600522883721 41.633944941283)
20251465816,2025002115,01/25/2025,01-January,7-Saturday,21:00,2100 Hours,District 5 (Southeast),,HENRY,US 218,US 218 S 36MM,Collision with:  Animal,Unknown,Non-collision (single vehicle),Animal,None Indicated,Animal in roadway,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,7000,1,1,Eastbound (EB),POINT (-91.56485614661 40.880150425099)
20251465576,20250002057,01/25/2025,01-January,7-Saturday,17:16,1700 Hours,District 1 (Central),DES MOINES,POLK,77,EAST PLEASANTVIEW DR AND SE 8TH ST,Collision with:  Vehicle in traffic,On Roadway,Other (explain in narrative),"Operating vehicle in an reckless, erratic, careless, negligent manner",None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Possible/Unknown,0,1,0,0,0,1,10000,2,2,Northbound (NB),POINT (-93.602633975843 41.556336480697)
20251465550,2025-000561,01/25/2025,01-January,7-Saturday,10:58,1000 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,US 20,US 20 W MEASURING 1389 FEET WEST FROM UNIVERSITY AVE EXTENSION,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4500,2,2,Westbound (WB),POINT (-90.711841973411 42.492506580169)
20251465701,25-000365,01/25/2025,01-January,7-Saturday,22:08,2200 Hours,District 1 (Central),ANKENY,POLK,77,1350 SW VINTAGE PARKWAY,Collision with:  Vehicle in traffic,On Roadway,"Angle, oncoming left turn",Unknown,Alcohol (Statutory),Visual obstruction,Dark - roadway lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,7000,2,5,Southbound (SB),POINT (-93.618301276219 41.711501078201)
20251466467,25-00970,01/25/2025,01-January,7-Saturday,17:01,1700 Hours,District 2 (Northeast),CRYSTAL LAKE,HANCOCK,77,SOUTH SUMMIT AVE,Collision with fixed object:  Fire hydrant,Roadside,Non-collision (single vehicle),"Operating vehicle in an reckless, erratic, careless, negligent manner",Under Influence of Alcohol/Drugs/Medications,None apparent,Daylight,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,19400,1,1,Northbound (NB),POINT (-93.792644053586 43.221199022632)
20251465546,2025-000553,01/25/2025,01-January,7-Saturday,04:57,0400 Hours,District 6 (East Central),DUBUQUE,DUBUQUE,77,RADFORD RD AND CHAVENELLE RD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Stop Sign,None Indicated,None apparent,Dark - roadway lighted,Wet,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Major Injury,0,3,1,0,2,0,29000,2,3,Southbound (SB),POINT (-90.749928058514 42.491495980218)
20251465593,25-00390,01/25/2025,01-January,7-Saturday,15:17,1500 Hours,District 1 (Central),WEST DES MOINES,DALLAS,77,VISTA DR,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),Followed too close,None Indicated,None apparent,Daylight,Dry,Clear,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,3,Southbound (SB),POINT (-93.808541827529 41.58894014993)
20251465813,202500001144,01/25/2025,01-January,7-Saturday,18:36,1800 Hours,District 4 (Southwest),,DALLAS,US 6,N AVE,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Lost Control,Refused,None apparent,Dark - roadway not lighted,Dry,Clear,None apparent,Intersection:  T-intersection,Paved,,Minor Injury,0,1,0,1,0,0,10000,1,2,Southbound (SB),POINT (-94.012579263724 41.553204945678)
