Iowa DOT Case Number,Law Enforcement Case Number,Date of Crash,Month of Crash,Day of Week,Time of Crash,Hour,DOT District,City Name,County Name,Route with System,Location Description,First Harmful Event,Location of First Harmful Event,Manner of Crash/Collision,Major Cause,Drug or Alcohol ,Environmental Conditions,Light Conditions,Surface Conditions,Weather Conditions,Roadway Contribution,Roadway Type,Roadway Surface,Work Zone,Crash Severity,Number of Fatalities,Number of Injuries,Number of Major Injuries,Number of Minor Injuries,Number of Possible Injuries,Number of Unknown Injuries,Amount of Property Damage,Number of Vehicles Involved,Total Number of Occupants,Travel Direction,Location
2014783802,14-000015,01/01/2014,01-January,4-Wednesday,15:35,1500 Hours,District 2 (Northeast),,CLAYTON,,Co Rd C2W/BELL RD & BIXBY AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  Other (explain in narrative),None Indicated,,Daylight,Snow,Cloudy,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,6050,2,3,,POINT (-91.561660307454 42.797463180201)
2014777020,14-000026,01/01/2014,01-January,4-Wednesday,07:55,0700 Hours,District 6 (East Central),BETTENDORF,SCOTT,,TANGLEFOOT LN & GREENBRIAR DR,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,,Daylight,Dry,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,,Minor Injury,0,2,0,1,1,0,10000,2,3,,POINT (-90.50767363752 41.56041259467)
2014777303,14-35,01/01/2014,01-January,4-Wednesday,17:47,1700 Hours,District 6 (East Central),,SCOTT,I-80,I-80,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway not lighted,Ice/frost,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3000,1,2,,POINT (-90.824699446936 41.628662395777)
2014782978,C14000011,01/01/2014,01-January,4-Wednesday,20:48,2000 Hours,District 6 (East Central),CORALVILLE,JOHNSON,I-80,I-80,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Ran off road - right,None Indicated,,Dark - roadway not lighted,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,15500,1,1,,POINT (-91.558835803854 41.685590971764)
2014778353,20140008,01/01/2014,01-January,4-Wednesday,16:25,1600 Hours,District 1 (Central),,BOONE,,Co Rd E57/270TH ST,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,7000,1,1,,POINT (-93.900018424641 41.965469051541)
2014777127,14-000016,01/01/2014,01-January,4-Wednesday,12:37,1200 Hours,District 5 (Southeast),COLUMBUS JUNCTION,LOUISA,IA 92,IA 92/IOWA 92 & EAST ACCESS ST & FAIRGROUNDS RD,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2500,1,4,,POINT (-91.356548988023 41.278883739106)
2014777287,S14-000001,01/01/2014,01-January,4-Wednesday,23:40,2300 Hours,District 4 (Southwest),,POTTAWATTAMIE,,Co Rd L35/WABASH AVE,Non-collision events:  Other non-collision (explain in narrative),Roadside,Non-collision (single vehicle),Ran off road - right,None Indicated,,Dark - roadway not lighted,Dry,Clear,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,1500,1,1,,POINT (-95.779485666847 41.178091259386)
2014779473,2014-00021,01/01/2014,01-January,4-Wednesday,09:19,0900 Hours,District 5 (Southeast),INDIANOLA,WARREN,IA 92,IA 92/W 2ND AVE & S KENWOOD BLVD,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Lost Control,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4500,2,3,,POINT (-93.584286208435 41.356168227086)
2014778618,2014000121,01/01/2014,01-January,4-Wednesday,13:14,1300 Hours,District 1 (Central),,JASPER,I-80,I-80,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,8000,1,1,,POINT (-92.89867552235 41.682783724612)
2014777587,02-14-19,01/01/2014,01-January,4-Wednesday,00:30,0000 Hours,District 6 (East Central),,DUBUQUE,,Co Rd Y17/E PLEASANT GROVE RD/PLACID RD,Non-collision events:  Other non-collision (explain in narrative),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3000,1,1,,POINT (-90.930453439396 42.389562917857)
2014776920,14-00038,01/01/2014,01-January,4-Wednesday,10:50,1000 Hours,District 1 (Central),,JASPER,I-80,I-80,Collision with fixed object:  Other fixed object (explain in narrative),Outside trafficway,Non-collision (single vehicle),Ran off road - right,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,1,1,,POINT (-93.270757261224 41.68709410357)
2014777873,2014000087,01/01/2014,01-January,4-Wednesday,11:20,1100 Hours,District 1 (Central),,POWESHIEK,I-80,I-80,Collision with fixed object:  Ditch,Roadside,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,1,2,,POINT (-92.435528997648 41.696105782137)
2014779100,2014000120,01/01/2014,01-January,4-Wednesday,13:10,1300 Hours,District 1 (Central),,POLK,I-35,I-35,Collision with fixed object:  Concrete traffic barrier (median or right side),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Ice/frost,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,,POINT (-93.667234020959 41.650762728906)
2014793198,S201400003,01/01/2014,01-January,4-Wednesday,04:20,0400 Hours,District 3 (Northwest),,PALO ALTO,IA 4,IA 4/460 AVE,Collision with:  Animal,,,Animal,None Indicated,,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,7000,1,1,,POINT (-94.678961474816 43.081371719323)
2014777886,PD140001,01/01/2014,01-January,4-Wednesday,19:02,1900 Hours,District 1 (Central),GRUNDY CENTER,GRUNDY,,10TH ST & M AVE,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Ice/frost,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,1880,1,3,,POINT (-92.776624538976 42.355856917307)
2014777984,14-000011,01/01/2014,01-January,4-Wednesday,18:00,1800 Hours,District 3 (Northwest),,LYON,US 75,US 75 & 170TH ST,Collision with:  Animal,,,Animal,None Indicated,,,,,,,Paved,,Property Damage Only,0,0,0,0,0,0,2500,1,1,,POINT (-96.175901801259 43.404378168859)
2014778416,14000372,01/01/2014,01-January,4-Wednesday,18:49,1800 Hours,District 6 (East Central),,JOHNSON,I-80,I-80,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,,Dark - roadway not lighted,Ice/frost,Snow,"Surface condition (e.g., wet, icy)","Interchange-related:  Off-ramp, diverge area",Paved,,Property Damage Only,0,0,0,0,0,0,6500,1,1,,POINT (-91.441018543 41.669975271863)
2014778004,SO1400006,01/01/2014,01-January,4-Wednesday,18:20,1800 Hours,District 3 (Northwest),,PLYMOUTH,,Co Rd C66/310TH ST,Collision with fixed object:  Tree,Outside trafficway,Non-collision (single vehicle),Ran off road - straight,Alcohol (Statutory),,Dark - roadway not lighted,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Major Injury,0,1,1,0,0,0,25000,1,1,,POINT (-95.967749895134 42.603817415199)
2014776722,14-0008,01/01/2014,01-January,4-Wednesday,06:42,0600 Hours,District 1 (Central),FORT DODGE,WEBSTER,,6TH AVE S,Collision with:  Parked motor vehicle,On Roadway,Unknown,Driving too fast for conditions,None Indicated,,Dark - roadway not lighted,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,7292,2,1,,POINT (-94.169804461219 42.499936642252)
2014777021,14-00035,01/01/2014,01-January,4-Wednesday,12:02,1200 Hours,District 6 (East Central),BETTENDORF,SCOTT,,NEW LEXINGTON DR,Collision with:  Vehicle in traffic,On Roadway,Head-on (front to front),Lost Control,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2300,2,2,,POINT (-90.497096193273 41.562308190722)
2014777197,W14-000178,01/01/2014,01-January,4-Wednesday,01:30,0100 Hours,District 2 (Northeast),WATERLOO,BLACK HAWK,,OAKLAWN AVE,Collision with fixed object:  Traffic sign support,Roadside,Non-collision (single vehicle),"Operating vehicle in an reckless, erratic, careless, negligent manner",None Indicated,,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,,Property Damage Only,0,0,0,0,0,0,1700,1,1,,POINT (-92.353676563406 42.494088175489)
2014777727,20140000070,01/01/2014,01-January,4-Wednesday,16:24,1600 Hours,District 1 (Central),DES MOINES,POLK,,GARFIELD AVE,Collision with:  Parked motor vehicle,On Roadway,Unknown,Unknown,None Indicated,,Daylight,Snow,Cloudy,Unknown,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,1500,2,777,,POINT (-93.602377947094 41.602355962427)
2014779063,201400000069,01/01/2014,01-January,4-Wednesday,13:08,1300 Hours,District 5 (Southeast),OTTUMWA,WAPELLO,US 34,US 34 & WAPELLO ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,3000,2,5,,POINT (-92.423315400188 41.015240060804)
2014777651,2014000028,01/01/2014,01-January,4-Wednesday,13:14,1300 Hours,District 6 (East Central),IOWA CITY,JOHNSON,US 6,US 6/S RIVERSIDE DR,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From driveway,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Driveway access (within),Paved,,Property Damage Only,0,0,0,0,0,0,2000,2,4,,POINT (-91.540189163605 41.649922659103)
2014778187,K14-000023,01/01/2014,01-January,4-Wednesday,06:00,0600 Hours,District 5 (Southeast),KEOKUK,LEE,,MISSOURI AVE,Collision with fixed object:  Bridge overhead structure,On Roadway,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,,Dark - roadway lighted,Other (explain in narrative),Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,,Major Injury,0,1,1,0,0,0,1000,1,1,,POINT (-91.396055525141 40.394479483021)
2014783801,14-000009,01/01/2014,01-January,4-Wednesday,06:30,0600 Hours,District 2 (Northeast),,CLAYTON,,HAWK AVE,Collision with fixed object:  Ditch,Shoulder,Non-collision (single vehicle),Driving too fast for conditions,Alcohol (Statutory),,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,,Property Damage Only,0,0,0,0,0,0,2500,1,1,,POINT (-91.309502084847 43.017502307111)
2014777867,2014000217,01/01/2014,01-January,4-Wednesday,19:30,1900 Hours,District 4 (Southwest),,FREMONT,,260 ST & 240 AVE,Non-collision events:  Overturn/rollover,Shoulder,Non-collision (single vehicle),Ran off road - left,None Indicated,,Dark - roadway not lighted,Snow,Clear,None apparent,Intersection:  T-intersection,Unpaved,,Property Damage Only,0,0,0,0,0,0,10150,1,3,,POINT (-95.735699569212 40.673935381011)
2014780229,2014000172,01/01/2014,01-January,4-Wednesday,15:10,1500 Hours,District 6 (East Central),,CEDAR,I-80,I-80,Collision with fixed object:  Other fixed object (explain in narrative),Median,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,5000,1,1,,POINT (-91.352545009166 41.663967292289)
2014777014,14-000063,01/01/2014,01-January,4-Wednesday,12:16,1200 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,I-29,I-29,Collision with fixed object:  Ditch,On Roadway,Non-collision (single vehicle),Crossed centerline (undivided),None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Interchange-related:  Off-ramp,Paved,,Property Damage Only,0,0,0,0,0,0,2000,1,1,,POINT (-95.852308917831 41.23352726351)
2014788609,,01/01/2014,01-January,4-Wednesday,11:53,1100 Hours,District 4 (Southwest),COUNCIL BLUFFS,POTTAWATTAMIE,,BENNETT AVE,Collision with:  Vehicle in traffic,On Roadway,Head-on (front to front),Other (explain in narrative):  Other,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,13964,2,2,,POINT (-95.826190391086 41.246204362261)
2014778493,2014-110,01/01/2014,01-January,4-Wednesday,09:42,0900 Hours,District 6 (East Central),DAVENPORT,SCOTT,,IA 461/BRADY ST & W 4TH ST & E 4TH ST,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  Making left turn,None Indicated,,Daylight,Snow,Snow,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,4000,2,2,,POINT (-90.57405798176 41.523519933916)
2014777807,2014-81,01/01/2014,01-January,4-Wednesday,04:59,0400 Hours,District 6 (East Central),DAVENPORT,SCOTT,US 67,US 67/E RIVER DR,Collision with fixed object:  Other fixed object (explain in narrative),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Wet,Clear,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,1,1,,POINT (-90.557904038685 41.526996558666)
2014777368,14010010,01/01/2014,01-January,4-Wednesday,16:57,1600 Hours,District 5 (Southeast),,WAPELLO,,Co Rd T61/MONROE WAPELLO RD,Non-collision events:  Overturn/rollover,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway not lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Possible/Unknown,0,1,0,0,1,0,10000,1,1,,POINT (-92.639673037569 41.026361777271)
2014777872,2014000044,01/01/2014,01-January,4-Wednesday,08:30,0800 Hours,District 6 (East Central),,JOHNSON,I-80,I-80,Collision with fixed object:  Traffic sign support,Roadside,Non-collision (single vehicle),Ran off road - right,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,2100,1,1,,POINT (-91.455462521238 41.675286187375)
2014776965,20140000076,01/01/2014,01-January,4-Wednesday,18:17,1800 Hours,District 5 (Southeast),DES MOINES,WARREN,,CO LINE RD,Collision with fixed object:  Other fixed object (explain in narrative),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4000,1,4,,POINT (-93.623337804019 41.512027117159)
2014777316,2014-170,01/01/2014,01-January,4-Wednesday,16:39,1600 Hours,District 6 (East Central),DAVENPORT,SCOTT,US 6,US 6/W KIMBERLY RD,Collision with:  Vehicle in traffic,On Roadway,Rear-end (front to rear),FTYROW:  Other (explain in narrative),None Indicated,,Daylight,Snow,Snow,None apparent,Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,3500,2,3,,POINT (-90.611144507741 41.560124305396)
2014777106,2014000077,01/01/2014,01-January,4-Wednesday,11:00,1100 Hours,District 4 (Southwest),WEST DES MOINES,DALLAS,I-80,I-80,Collision with fixed object:  Guardrail - face,Shoulder,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,6000,1,1,,POINT (-93.856170759733 41.567914767422)
2014779399,14-0048,01/01/2014,01-January,4-Wednesday,14:30,1400 Hours,District 1 (Central),NEWTON,JASPER,I-80,I-80,Collision with fixed object:  Other fixed object (explain in narrative),On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,,Property Damage Only,0,0,0,0,0,0,8000,1,2,,POINT (-92.998438024907 41.682522135229)
2014778641,,01/01/2014,01-January,4-Wednesday,01:32,0100 Hours,District 3 (Northwest),PAULLINA,OBRIEN,,W COMMERCE ST & E COMMERCE ST & S MAIN ST & N MAIN ST,Collision with fixed object:  Utility pole/light support,Median,Non-collision (single vehicle),Unknown,Alcohol (Statutory),,Dark - roadway lighted,Snow,Snow,None apparent,Intersection:  Four-way intersection,Paved,,Major Injury,0,1,1,0,0,0,5000,1,1,,POINT (-95.687747070041 42.981031389088)
2014778111,,01/01/2014,01-January,4-Wednesday,13:19,1300 Hours,District 5 (Southeast),RUSSELL,LUCAS,,W SMITH ST & MAIN ST & E SMITH ST,Collision with fixed object:  Utility pole/light support,On Roadway,Non-collision (single vehicle),Swerving/Evasive Action,None Indicated,,Daylight,Ice/frost,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,4500,1,1,,POINT (-93.201867483092 40.981950331571)
2014779217,140016,01/01/2014,01-January,4-Wednesday,23:36,2300 Hours,District 1 (Central),,HARDIN,,270TH ST,Collision with:  Animal,,,Animal,None Indicated,,,,,,,Unpaved,,Property Damage Only,0,0,0,0,0,0,2000,1,1,,POINT (-93.148190501012 42.310200529547)
2014777398,14-66,01/01/2014,01-January,4-Wednesday,10:21,1000 Hours,District 3 (Northwest),SIOUX CITY,WOODBURY,,3RD ST & PIERCE ST,Collision with:  Vehicle in traffic,On Roadway,"Sideswipe, same direction",Made improper turn,None Indicated,,Daylight,Snow,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,5500,2,5,,POINT (-96.4049013862 42.493094290605)
2014777875,2014000094,01/01/2014,01-January,4-Wednesday,11:38,1100 Hours,District 6 (East Central),,IOWA,I-80,I-80 & Co Rd V38/B AVE,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Daylight,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Non-junction/no special feature,Paved,,Property Damage Only,0,0,0,0,0,0,8500,1,1,,POINT (-92.279550959222 41.697296414916)
2014776996,14-0010,01/01/2014,01-January,4-Wednesday,11:42,1100 Hours,District 1 (Central),WEST DES MOINES,POLK,I-35,I-35,Collision with fixed object:  Concrete traffic barrier (median or right side),On Roadway,Non-collision (single vehicle),Lost Control,None Indicated,,Daylight,Ice/frost,Cloudy,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,,Property Damage Only,0,0,0,0,0,0,3000,1,3,,POINT (-93.775443902347 41.542105271917)
2014779570,201400056,01/01/2014,01-January,4-Wednesday,21:38,2100 Hours,District 6 (East Central),CEDAR RAPIDS,LINN,,ELLIS RD NW & EDGEWOOD RD NW,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),Ran Traffic Signal,None Indicated,,Dark - roadway lighted,Snow,Cloudy,"Surface condition (e.g., wet, icy)",Intersection:  Four-way intersection,Paved,,Possible/Unknown,0,1,0,0,0,1,8000,3,7,,POINT (-91.707877392028 42.005064273707)
2014776844,14-000007,01/01/2014,01-January,4-Wednesday,01:30,0100 Hours,District 4 (Southwest),,CASS,,BUCK CREEK RD,Non-collision events:  Overturn/rollover,Outside trafficway,Non-collision (single vehicle),Ran off road - left,Alcohol (Statutory),,Dark - roadway not lighted,Dry,Cloudy,None apparent,Non-intersection:  Non-junction/no special feature,Unpaved,,Property Damage Only,0,0,0,0,0,0,3500,1,1,,POINT (-95.022559511736 41.425567849346)
2014777793,14-52,01/01/2014,01-January,4-Wednesday,19:37,1900 Hours,District 6 (East Central),BETTENDORF,SCOTT,I-74,I-74,Collision with fixed object:  Guardrail - face,On Roadway,Non-collision (single vehicle),Driving too fast for conditions,None Indicated,,Dark - roadway lighted,Snow,Snow,"Surface condition (e.g., wet, icy)",Non-intersection:  Other non-intersection (explain in narrative),Paved,,Property Damage Only,0,0,0,0,0,0,7062,1,2,,POINT (-90.518870726872 41.545127959039)
2014777657,2014000016,01/01/2014,01-January,4-Wednesday,03:26,0300 Hours,District 6 (East Central),IOWA CITY,JOHNSON,,I ST & WAYNE ST & S 1ST AVE,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,,Dark - roadway lighted,Wet,Cloudy,None apparent,Intersection:  Four-way intersection,Paved,,Property Damage Only,0,0,0,0,0,0,8000,2,2,,POINT (-91.501975938952 41.647404352669)
2014777255,14-009,01/01/2014,01-January,4-Wednesday,12:25,1200 Hours,District 1 (Central),GRIMES,POLK,,S 19TH ST & SE MIEHE DR,Collision with:  Vehicle in traffic,On Roadway,Broadside (front to side),FTYROW:  From stop sign,None Indicated,,Daylight,Snow,Cloudy,None apparent,Intersection:  T-intersection,Paved,,Property Damage Only,0,0,0,0,0,0,2500,2,3,,POINT (-93.767113450906 41.672954527429)
